camadas,ciclos,taxa_aprendizado,momentum,valor_validação
1,10,0.001,0.0,2446.401611328125
1,10,0.001,0.5,2216.614990234375
1,10,0.001,0.9,1727.723876953125
1,10,0.01,0.0,1424.395751953125
1,10,0.01,0.5,1321.936767578125
1,10,0.01,0.9,1331.8807373046875
1,10,0.1,0.0,1291.8240966796875
1,10,0.1,0.5,1286.4197998046875
1,10,0.1,0.9,1572.1383056640625
1,20,0.001,0.0,2174.501220703125
1,20,0.001,0.5,1825.6656494140625
1,20,0.001,0.9,1403.4678955078125
1,20,0.01,0.0,1320.750732421875
1,20,0.01,0.5,1240.8997802734375
1,20,0.01,0.9,1171.63134765625
1,20,0.1,0.0,1153.232177734375
1,20,0.1,0.5,1214.72607421875
1,20,0.1,0.9,1360.5504150390625
1,40,0.001,0.0,1810.0504150390625
1,40,0.001,0.5,1500.7218017578125
1,40,0.001,0.9,1284.9266357421875
1,40,0.01,0.0,1236.50830078125
1,40,0.01,0.5,1156.9107666015625
1,40,0.01,0.9,1121.177734375
1,40,0.1,0.0,1109.35498046875
1,40,0.1,0.5,1235.22607421875
1,40,0.1,0.9,1577.8634033203125
2,10,0.001,0.0,2382.354736328125
2,10,0.001,0.5,2124.78564453125
2,10,0.001,0.9,1628.6197509765625
2,10,0.01,0.0,1561.22705078125
2,10,0.01,0.5,1527.3812255859375
2,10,0.01,0.9,1546.02001953125
2,10,0.1,0.0,1836.6827392578125
2,10,0.1,0.5,1648.6795654296875
2,10,0.1,0.9,1842.4481201171875
2,20,0.001,0.0,2066.8642578125
2,20,0.001,0.5,1673.2523193359375
2,20,0.001,0.9,1580.3658447265625
2,20,0.01,0.0,1506.8367919921875
2,20,0.01,0.5,1425.39794921875
2,20,0.01,0.9,1337.67138671875
2,20,0.1,0.0,1651.1302490234375
2,20,0.1,0.5,1614.8712158203125
2,20,0.1,0.9,1744.9564208984375
2,40,0.001,0.0,1666.7777099609375
2,40,0.001,0.5,1577.8818359375
2,40,0.001,0.9,1488.234619140625
2,40,0.01,0.0,1402.277587890625
2,40,0.01,0.5,1245.4146728515625
2,40,0.01,0.9,1175.2662353515625
2,40,0.1,0.0,1616.009765625
2,40,0.1,0.5,1614.6883544921875
2,40,0.1,0.9,1543.725341796875
3,10,0.001,0.0,2392.25537109375
3,10,0.001,0.5,2142.133056640625
3,10,0.001,0.9,1624.7337646484375
3,10,0.01,0.0,1612.78466796875
3,10,0.01,0.5,1610.62548828125
3,10,0.01,0.9,1621.28125
3,10,0.1,0.0,1666.7236328125
3,10,0.1,0.5,1648.5015869140625
3,10,0.1,0.9,1903.534912109375
3,20,0.001,0.0,2017.428955078125
3,20,0.001,0.5,1680.218017578125
3,20,0.001,0.9,1616.53173828125
3,20,0.01,0.0,1606.8853759765625
3,20,0.01,0.5,1584.3546142578125
3,20,0.01,0.9,1422.0433349609375
3,20,0.1,0.0,1651.64892578125
3,20,0.1,0.5,1614.7423095703125
3,20,0.1,0.9,1616.4586181640625
3,40,0.001,0.0,1666.4661865234375
3,40,0.001,0.5,1613.355224609375
3,40,0.001,0.9,1603.9017333984375
3,40,0.01,0.0,1589.60498046875
3,40,0.01,0.5,1389.0838623046875
3,40,0.01,0.9,1326.413330078125
3,40,0.1,0.0,1614.7164306640625
3,40,0.1,0.5,1614.6849365234375
3,40,0.1,0.9,1616.30126953125
