camadas,ciclos,taxa_aprendizado,momentum,valor_validação
1,10,0.001,0.0,0.2777777910232544
1,10,0.001,0.5,0.2777777910232544
1,10,0.001,0.9,0.2777777910232544
1,10,0.01,0.0,0.2777777910232544
1,10,0.01,0.5,0.2777777910232544
1,10,0.01,0.9,0.2777777910232544
1,10,0.1,0.0,0.1666666716337204
1,10,0.1,0.5,0.1666666716337204
1,10,0.1,0.9,0.3333333432674408
1,50,0.001,0.0,0.2777777910232544
1,50,0.001,0.5,0.2777777910232544
1,50,0.001,0.9,0.2777777910232544
1,50,0.01,0.0,0.2777777910232544
1,50,0.01,0.5,0.1666666716337204
1,50,0.01,0.9,0.4444444477558136
1,50,0.1,0.0,0.5
1,50,0.1,0.5,0.8333333134651184
1,50,0.1,0.9,1.0
1,100,0.001,0.0,0.2777777910232544
1,100,0.001,0.5,0.2777777910232544
1,100,0.001,0.9,0.1666666716337204
1,100,0.01,0.0,0.1666666716337204
1,100,0.01,0.5,0.2222222238779068
1,100,0.01,0.9,0.8333333134651184
1,100,0.1,0.0,0.8333333134651184
1,100,0.1,0.5,1.0
1,100,0.1,0.9,1.0
2,10,0.001,0.0,0.1666666716337204
2,10,0.001,0.5,0.1666666716337204
2,10,0.001,0.9,0.1111111119389534
2,10,0.01,0.0,0.1111111119389534
2,10,0.01,0.5,0.1111111119389534
2,10,0.01,0.9,0.1111111119389534
2,10,0.1,0.0,0.1111111119389534
2,10,0.1,0.5,0.1111111119389534
2,10,0.1,0.9,0.1111111119389534
2,50,0.001,0.0,0.1111111119389534
2,50,0.001,0.5,0.1111111119389534
2,50,0.001,0.9,0.1111111119389534
2,50,0.01,0.0,0.1111111119389534
2,50,0.01,0.5,0.1111111119389534
2,50,0.01,0.9,0.1111111119389534
2,50,0.1,0.0,0.1111111119389534
2,50,0.1,0.5,0.1111111119389534
2,50,0.1,0.9,1.0
2,100,0.001,0.0,0.1111111119389534
2,100,0.001,0.5,0.1111111119389534
2,100,0.001,0.9,0.1111111119389534
2,100,0.01,0.0,0.1111111119389534
2,100,0.01,0.5,0.1111111119389534
2,100,0.01,0.9,0.1111111119389534
2,100,0.1,0.0,0.1111111119389534
2,100,0.1,0.5,0.4444444477558136
2,100,0.1,0.9,1.0
3,10,0.001,0.0,0.6111111044883728
3,10,0.001,0.5,0.6111111044883728
3,10,0.001,0.9,0.6111111044883728
3,10,0.01,0.0,0.6111111044883728
3,10,0.01,0.5,0.6111111044883728
3,10,0.01,0.9,0.1111111119389534
3,10,0.1,0.0,0.1111111119389534
3,10,0.1,0.5,0.1111111119389534
3,10,0.1,0.9,0.1111111119389534
3,50,0.001,0.0,0.6111111044883728
3,50,0.001,0.5,0.6111111044883728
3,50,0.001,0.9,0.1111111119389534
3,50,0.01,0.0,0.1111111119389534
3,50,0.01,0.5,0.1111111119389534
3,50,0.01,0.9,0.1111111119389534
3,50,0.1,0.0,0.1111111119389534
3,50,0.1,0.5,0.1111111119389534
3,50,0.1,0.9,0.1111111119389534
3,100,0.001,0.0,0.6111111044883728
3,100,0.001,0.5,0.6111111044883728
3,100,0.001,0.9,0.1111111119389534
3,100,0.01,0.0,0.1111111119389534
3,100,0.01,0.5,0.1111111119389534
3,100,0.01,0.9,0.1111111119389534
3,100,0.1,0.0,0.1111111119389534
3,100,0.1,0.5,0.1111111119389534
3,100,0.1,0.9,0.1111111119389534
